Filename                            Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
nexa-core\src\secret.rs                 168                 4    97.62%          21                 1    95.24%          90                 3    96.67%           0                 0         -
nexa-gui\src\columns.rs                  25                 0   100.00%           4                 0   100.00%          23                 0   100.00%           0                 0         -
nexa-gui\src\draw.rs                     85                42    50.59%          13                 8    38.46%          43                25    41.86%           0                 0         -
nexa-gui\src\edit.rs                    546                49    91.03%          31                 4    87.10%         270                24    91.11%           0                 0         -
nexa-gui\src\event.rs                    42                 0   100.00%           4                 0   100.00%          27                 0   100.00%           0                 0         -
nexa-gui\src\geom.rs                    120                 3    97.50%          12                 1    91.67%          67                 6    91.04%           0                 0         -
nexa-gui\src\theme.rs                    51                16    68.63%           6                 1    83.33%          57                20    64.91%           0                 0         -
nexa-gui\src\typeahead.rs               139                 0   100.00%          11                 0   100.00%         106                 0   100.00%           0                 0         -
nexa-gui\src\widget.rs                   70                 7    90.00%           9                 2    77.78%          40                 6    85.00%           0                 0         -
nexa-gui\src\widgets\chrome.rs          551               261    52.63%          42                18    57.14%         358               158    55.87%           0                 0         -
nexa-gui\src\widgets\dock.rs           1217               245    79.87%          42                12    71.43%         611               145    76.27%           0                 0         -
nexa-gui\src\widgets\menubar.rs         946               140    85.20%          36                 3    91.67%         471                68    85.56%           0                 0         -
nexa-gui\src\widgets\pathbar.rs        1020               182    82.16%          51                 6    88.24%         522                81    84.48%           0                 0         -
nexa-gui\src\widgets\rows.rs           4402              1675    61.95%         204                38    81.37%        2324               765    67.08%           0                 0         -
nexa-gui\src\widgets\tabbar.rs          633                52    91.79%          38                 3    92.11%         334                31    90.72%           0                 0         -
nexa-ops\src\batch_rename.rs           1646                52    96.84%          79                 1    98.73%         997                32    96.79%           0                 0         -
nexa-ops\src\history.rs                 601                36    94.01%          51                 7    86.27%         332                31    90.66%           0                 0         -
nexa-ops\src\lib.rs                    1067                66    93.81%          48                 2    95.83%         540                24    95.56%           0                 0         -
nexa-term\src\lib.rs                   1662               141    91.52%          93                 5    94.62%         974               104    89.32%           0                 0         -
nexa-tree\src\lib.rs                   2007               160    92.03%         115                 7    93.91%         965                84    91.30%           0                 0         -
nexa-vfs\src\archive\cab.rs             314                42    86.62%          13                 1    92.31%         153                22    85.62%           0                 0         -
nexa-vfs\src\archive\mod.rs             644                48    92.55%          57                 4    92.98%         367                20    94.55%           0                 0         -
nexa-vfs\src\archive\rar.rs             727                60    91.75%          22                 0   100.00%         351                43    87.75%           0                 0         -
nexa-vfs\src\archive\sevenz.rs          138                 7    94.93%          10                 0   100.00%          66                 3    95.45%           0                 0         -
nexa-vfs\src\archive\stream.rs          315                17    94.60%          25                 1    96.00%         193                11    94.30%           0                 0         -
nexa-vfs\src\archive\tar.rs             564                26    95.39%          34                 1    97.06%         262                11    95.80%           0                 0         -
nexa-vfs\src\archive\zip.rs             675               118    82.52%          24                 2    91.67%         297                65    78.11%           0                 0         -
nexa-vfs\src\lib.rs                     475                20    95.79%          39                 3    92.31%         269                10    96.28%           0                 0         -
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                 68506             39715    42.03%        3105              1485    52.17%       39929             24545    38.53%           0                 0         -
